2.184.170.0	2.184.171.255	Iran Telecommunication Company Pjs
2.184.172.0	2.184.175.255	Iran Telecommunication Company Pjs
2.184.176.0	2.184.191.255	Iran Telecommunication Company Pjs
2.184.192.0	2.184.255.255	Iran Telecommunication Company Pjs
2.185.0.0	2.185.63.255	Iran Telecommunication Company Pjs
2.185.64.0	2.185.95.255	Iran Telecommunication Company Pjs
2.185.96.0	2.185.127.255	Iran Telecommunication Company Pjs
2.185.128.0	2.185.159.255	Iran Telecommunication Company Pjs
2.185.160.0	2.185.191.255	Iran Telecommunication Company Pjs
2.185.192.0	2.185.223.255	Iran Telecommunication Company Pjs
2.185.224.0	2.185.239.255	Iran Telecommunication Company Pjs
2.185.240.0	2.185.247.255	Iran Telecommunication Company Pjs
2.185.248.0	2.185.251.255	Iran Telecommunication Company Pjs
2.185.252.0	2.185.253.255	Iran Telecommunication Company Pjs
2.185.254.0	2.185.254.255	Iran Information Technology Company PJSC
2.185.255.0	2.185.255.255	Iran Information Technology Company PJSC
2.186.0.0	2.186.255.255	Iran Telecommunication Company Pjs
2.187.0.0	2.187.3.255	Iran Telecommunication Company Pjs
2.187.4.0	2.187.5.255	Iran Telecommunication Company Pjs
2.187.6.0	2.187.7.255	Iran Telecommunication Company Pjs
2.187.8.0	2.187.11.255	Iran Telecommunication Company Pjs
2.187.12.0	2.187.13.255	Iran Telecommunication Company Pjs
2.187.14.0	2.187.14.255	Iran Telecommunication Company Pjs
2.187.15.0	2.187.15.255	Iran Telecommunication Company Pjs
2.187.16.0	2.187.16.255	Iran Telecommunication Company Pjs
2.187.17.0	2.187.17.255	Iran Telecommunication Company Pjs
2.187.18.0	2.187.18.255	Iran Telecommunication Company Pjs
2.187.19.0	2.187.19.255	Iran Telecommunication Company Pjs
2.187.20.0	2.187.23.255	Iran Telecommunication Company Pjs
2.187.24.0	2.187.31.255	Iran Telecommunication Company Pjs
2.187.32.0	2.187.47.255	Iran Telecommunication Company Pjs
2.187.48.0	2.187.55.255	Iran Telecommunication Company Pjs
2.187.56.0	2.187.63.255	Iran Telecommunication Company Pjs
2.187.64.0	2.187.95.255	Iran Information Technology Company PJSC
2.187.96.0	2.187.127.255	Iran Telecommunication Company Pjs
2.187.128.0	2.187.159.255	Iran Telecommunication Company Pjs
2.187.160.0	2.187.191.255	Iran Telecommunication Company Pjs
2.187.192.0	2.187.207.255	Iran Telecommunication Company Pjs
2.187.208.0	2.187.223.255	Iran Telecommunication Company Pjs
2.187.224.0	2.187.239.255	Iran Telecommunication Company Pjs
2.187.240.0	2.187.247.255	Iran Telecommunication Company Pjs
2.187.248.0	2.187.251.255	Iran Telecommunication Company Pjs
2.187.252.0	2.187.252.255	Iran Information Technology Company PJSC
2.187.253.0	2.187.253.255	Iran Information Technology Company PJSC
2.187.254.0	2.187.254.255	Iran Information Technology Company PJSC
2.187.255.0	2.187.255.255	Iran Information Technology Company PJSC
2.188.0.0	2.188.0.255	Telecommunication Infrastructure Company
2.188.1.0	2.188.1.255	Telecommunication Infrastructure Company
2.188.2.0	2.188.2.255	Iran Information Technology Company PJSC
2.188.3.0	2.188.3.255	Iran Information Technology Company PJSC
2.188.4.0	2.188.4.255	Iran Information Technology Company PJSC
2.188.5.0	2.188.5.255	Telecommunication Infrastructure Company
2.188.6.0	2.188.6.255	Iran Information Technology Company PJSC
2.188.7.0	2.188.7.255	Telecommunication Infrastructure Company
2.188.8.0	2.188.8.255	Iran Information Technology Company PJSC
2.188.9.0	2.188.9.255	Telecommunication Infrastructure Company
2.188.10.0	2.188.10.255	Iran Information Technology Company PJSC
2.188.11.0	2.188.11.255	Telecommunication Infrastructure Company
2.188.12.0	2.188.12.255	Iran Information Technology Company PJSC
2.188.13.0	2.188.13.255	Iran Information Technology Company PJSC
2.188.14.0	2.188.14.255	Iran Information Technology Company PJSC
2.188.15.0	2.188.15.255	Iran Information Technology Company PJSC
2.188.16.0	2.188.17.255	Telecommunication Infrastructure Company
2.188.18.0	2.188.18.255	Iran Information Technology Company PJSC
2.188.19.0	2.188.19.255	Iran Information Technology Company PJSC
2.188.20.0	2.188.20.255	Iran Information Technology Company PJSC
2.188.21.0	2.188.21.255	Telecommunication Infrastructure Company
